Date,Code,Name,EntryPrice,ExitPrice,PnL(%),VolBurstRatio,EntryATR,UpperTailRatio,HoldTime(s),MaxPnL(%),ExitReason
2026-03-25 09:09:32,178320,서진시스템,51500,51000,-0.97,7.05,357.14,0.038,21,0.0,손절(SL)
2026-03-25 09:25:23,050890,쏠리드,15290,15340,0.33,4.58,239.29,0.149,44,1.18,본절(B/E)
2026-03-25 13:05:30,027360,아주IB투자,7780,7900,1.54,3.63,114.29,0.097,105,1.54,반익절(TP)
2026-03-25 13:05:37,027360,아주IB투자,7780,7850,0.9,3.63,114.29,0.097,113,1.54,트레일링
2026-03-25 13:09:09,006800,미래에셋증권,66400,67300,1.36,3.41,325.0,0.125,321,1.36,반익절(TP)
2026-03-25 13:10:58,006800,미래에셋증권,66400,67700,1.96,3.41,325.0,0.125,431,2.71,트레일링
2026-03-26 12:20:50,131370,알서포트,3005,2935,-2.33,2.2,45.0,0.05,300,0.83,손절(SL)
