Date,Code,Name,EntryPrice,ExitPrice,PnL(%),VolBurstRatio,EntryATR,UpperTailRatio,Macro(%),HoldTime(s),MaxPnL(%),ExitReason
2026-04-07 09:51:59,047040,대우건설,18350,17910,-2.4,4.59,279.29,0,1.48,939,0,손절(SL)
2026-04-07 10:00:27,046890,서울반도체,10290,10120,-1.65,2.51,112.86,0,1.35,206,0,손절(SL)
2026-04-07 10:03:47,272210,한화시스템,134600,133200,-1.04,4.72,921.43,0,1.07,201,0,손절(SL)
2026-04-07 10:23:08,004650,창해에탄올,11050,11220,1.54,16.08,214.29,0,0.61,300,1.54,전량익절(목표가)
2026-04-07 10:26:49,004650,창해에탄올,11140,10750,-3.5,2.38,257.86,0,0.45,114,0,손절(SL)
2026-04-07 10:33:39,038110,에코플라스틱,4090,4005,-2.08,6.32,56.07,0,0.42,371,0,손절(SL)
2026-04-07 11:04:37,064260,다날,7260,7150,-1.52,2.73,72.14,0,-0.69,253,0,손절(SL)
2026-04-07 11:43:16,064260,다날,7350,7470,1.63,2.15,93.57,0,-0.57,249,1.63,전량익절(목표가)
2026-04-07 11:49:44,064260,다날,7490,7620,1.74,7.34,95.0,0,-0.77,281,1.74,전량익절(목표가)
2026-04-07 12:15:35,005810,풍산홀딩스,51300,52100,1.56,7.64,571.43,0,-0.82,364,1.56,전량익절(목표가)
2026-04-07 12:20:54,103140,풍산,103200,102100,-1.07,5.8,507.14,0,-0.92,125,0,손절(SL)
2026-04-07 13:34:54,103140,풍산,104400,103100,-1.25,5.26,807.14,0,-1.03,4058,0,손절(SL)
2026-04-07 14:24:57,103140,풍산,106400,104500,-1.79,2.36,1214.29,0,-1.21,2360,0,손절(SL)
2026-04-07 15:06:56,028050,삼성E&A,49050,48500,-1.12,2.03,350.0,0,-1.35,581,0,손절(SL)
2026-04-08 09:04:21,024060,흥구석유,18710,19000,1.55,3.89,625.71,0,4.53,55,1.55,전량익절(목표가)
2026-04-08 09:06:56,047040,대우건설,19200,18720,-2.5,8.98,253.57,0,3.89,5,0,손절(SL)
2026-04-08 09:07:10,375500,DL이앤씨,81700,80300,-1.71,7.89,928.57,0,3.89,15,0,손절(SL)
2026-04-08 09:08:58,015760,한국전력,44600,43850,-1.68,4.42,489.29,0,3.89,121,0,손절(SL)
2026-04-08 09:12:23,047040,대우건설,19380,19700,1.65,2.74,282.86,0,4.25,21,1.65,전량익절(목표가)
2026-04-08 09:16:28,375500,DL이앤씨,83500,84800,1.56,3.67,1214.29,0,4.62,59,1.56,전량익절(목표가)
2026-04-08 09:57:12,072950,빛샘전자,8440,8110,-3.91,22.65,219.29,0,4.11,146,0,손절(SL)
2026-04-08 10:03:47,038500,삼표시멘트,15600,15400,-1.28,6.92,127.14,0,3.84,388,0,손절(SL)
2026-04-08 10:20:51,475150,SK이터닉스,57400,56300,-1.92,3.49,714.29,0,4.25,4127,0,손절(SL)
2026-04-08 10:32:44,079900,전진건설로봇,65600,66600,1.52,8.57,735.71,0,4.03,119,1.52,50%분할익절
2026-04-08 10:33:35,079900,전진건설로봇,65600,65600,0.0,8.57,735.71,0,4.03,170,2.13,트레일링스탑(익절)
2026-04-08 10:34:22,064260,다날,7600,7520,-1.05,14.54,73.93,0,4.03,219,0.39,손절(SL)
2026-04-08 10:40:25,425040,티이엠씨,14780,14590,-1.29,5.29,125.71,0,4.08,225,0.14,손절(SL)
2026-04-08 10:43:49,025950,동신건설,17330,17150,-1.04,31.95,314.29,0,3.95,991,0.87,손절(SL)
2026-04-08 10:48:48,009830,한화솔루션,39450,40050,1.52,2.4,389.29,0,3.88,3445,1.52,50%분할익절
2026-04-08 10:49:07,0010F0,보원케미칼,10490,10360,-1.24,10.81,192.86,0,3.98,35,-0.48,손절(SL)
2026-04-08 10:56:09,450080,에코프로머티,75700,74900,-1.06,3.83,407.14,0,4.05,813,0.26,손절(SL)
2026-04-08 10:57:37,0010F0,보원케미칼,10570,10450,-1.14,5.89,232.14,0,3.84,29,-0.09,손절(SL)
2026-04-08 10:59:55,009150,삼성전기,510000,518000,1.57,4.48,2428.57,0,3.84,165,1.57,50%분할익절
2026-04-08 11:05:45,010170,대한광통신,13230,13430,1.51,2.75,88.57,0,3.92,872,1.51,50%분할익절
2026-04-08 11:06:52,005380,현대차,496000,504000,1.61,2.35,1785.71,0,3.86,3465,1.61,50%분할익절
2026-04-08 11:21:14,452300,캡스톤파트너스,5070,5010,-1.18,20.85,71.07,0,4.11,173,0.79,손절(SL)
2026-04-08 11:25:20,079900,전진건설로봇,65800,65100,-1.06,3.02,671.43,0,4.15,571,0.76,손절(SL)
2026-04-08 11:38:27,452300,캡스톤파트너스,5190,5190,0.0,4.34,110.0,0,4.21,313,1.16,본절방어
2026-04-08 11:42:20,100790,미래에셋벤처투자,29650,29350,-1.01,2.02,203.57,0,4.21,727,0.0,손절(SL)
2026-04-08 11:45:12,321260,프로이천,2920,2890,-1.03,50.07,34.29,0,4.33,6,-0.86,손절(SL)
2026-04-08 11:50:09,010170,대한광통신,13230,13280,0.38,2.75,88.57,0,3.92,3536,2.49,트레일링스탑(익절)
2026-04-08 11:51:16,321260,프로이천,2990,2910,-2.68,15.46,50.0,0,4.29,12,-0.33,손절(SL)
2026-04-08 12:12:28,028050,삼성E&A,51100,51900,1.57,3.37,271.43,0,4.22,1079,1.57,50%분할익절
2026-04-08 12:31:57,028050,삼성E&A,51100,52000,1.76,3.37,271.43,0,4.22,2249,3.91,트레일링스탑(익절)
2026-04-08 12:39:30,452300,캡스톤파트너스,5020,4960,-1.2,4.83,68.93,0,4.18,15,-0.2,손절(SL)
