Date,Code,Name,EntryPrice,ExitPrice,PnL(%),VolBurstRatio,EntryATR,UpperTailRatio,Macro(%),HoldTime(s),MaxPnL(%),ExitReason
2026-04-08 12:48:40,452300,캡스톤파트너스,5090,5030,-1.18,6.61,98.21,0,3.92,7,0.2,손절(SL)
2026-04-08 12:52:35,0010F0,보원케미칼,10650,10540,-1.03,6.58,142.14,0,3.99,88,0.75,손절(SL)
2026-04-08 13:00:16,475150,SK이터닉스,57900,57300,-1.04,7.75,250.0,0,3.95,345,0.35,손절(SL)
2026-04-08 13:15:04,009150,삼성전기,510000,512000,0.39,4.48,2428.57,0,3.84,8274,2.55,트레일링스탑(익절)
2026-04-08 13:15:07,475150,SK이터닉스,57800,57200,-1.04,2.14,364.29,0,4.07,678,0.17,손절(SL)
2026-04-08 13:22:34,080220,제주반도체,41700,42350,1.56,11.95,157.14,0,4.3,6355,1.56,50%분할익절
2026-04-08 13:25:38,008970,KBI동양철관,1878,1856,-1.17,58.67,18.93,0,4.21,448,0.05,손절(SL)
2026-04-08 13:30:58,255220,SG,2930,2895,-1.19,8.47,25.36,0,4.19,7,-1.02,손절(SL)
2026-04-08 13:35:25,005930,삼성전자,210000,213500,1.67,2.02,767.86,0,4.06,8580,1.67,50%분할익절
2026-04-08 13:36:54,008970,KBI동양철관,1936,1904,-1.65,3.25,49.21,0,4.27,6,-1.19,손절(SL)
2026-04-08 13:39:47,092790,넥스틸,14190,14410,1.55,10.24,189.29,0,4.27,180,1.55,50%분할익절
2026-04-08 13:41:30,092790,넥스틸,14190,14170,-0.14,10.24,189.29,0,4.27,283,1.9,트레일링스탑(익절)
2026-04-08 13:50:39,039610,화성밸브,9500,9400,-1.05,2.82,302.86,0,4.44,120,0.32,손절(SL)
2026-04-08 14:04:48,008350,남선알미늄,2125,2090,-1.65,5.19,20.14,0,4.36,57,0.24,손절(SL)
2026-04-08 14:18:31,309960,LB인베스트먼트,5910,5850,-1.02,14.27,152.14,0,4.57,16,0.51,손절(SL)
2026-04-08 14:27:38,309960,LB인베스트먼트,5910,5680,-3.89,3.31,237.14,0,4.45,5,-2.37,손절(SL)
