Date,Code,Name,Market,TimeSession,EntryPrice,ExitPrice,Slippage(%),PnL(%),MinPnL(%),MaxPnL(%),VolBurstRatio,EntryATR,EntryVWAPGap(%),MacroTrend,MacroGap(%),HoldTime(s),ExitReason
2026-04-09 09:49:44,004650,창해에탄올,KOSDAQ,Mid(09:30~14:00),11310,11190,0.0,-1.06,-1.06,0.18,6.3,185.0,2.31,정배열,0.0,82,손절(SL)
2026-04-09 09:53:17,065450,빅텍,KOSDAQ,Mid(09:30~14:00),5180,5120,0.0,-1.16,-1.16,0.19,4.1,87.14,2.81,정배열,0.0,89,손절(SL)
2026-04-09 10:06:40,004650,창해에탄올,KOSDAQ,Mid(09:30~14:00),11520,11400,0.0,-1.04,-1.04,0.0,5.85,237.86,2.89,정배열,0.0,31,손절(SL)
2026-04-09 10:15:46,0007J0,인벤테라,KOSDAQ,Mid(09:30~14:00),28000,27700,0.0,-1.07,-1.07,-0.54,4.46,521.43,2.48,정배열,0.0,15,손절(SL)
2026-04-09 10:18:29,024060,흥구석유,KOSDAQ,Mid(09:30~14:00),19890,19690,0.0,-1.01,-1.01,0.0,3.55,165.71,1.89,정배열,0.0,26,손절(SL)
2026-04-09 10:25:00,319400,현대무벡스,KOSDAQ,Mid(09:30~14:00),30800,30450,0.0,-1.14,-1.14,0.97,2.26,221.43,0.62,정배열,0.0,1129,손절(SL)
2026-04-09 10:36:45,093370,후성,KOSPI,Mid(09:30~14:00),10320,10210,0.0,-1.07,-1.07,-0.58,4.62,99.29,1.97,정배열,0.0,8,손절(SL)
2026-04-09 10:45:38,079550,LIG넥스원,KOSPI,Mid(09:30~14:00),860000,875000,0.23,1.74,-0.58,1.74,5.58,4214.29,1.41,정배열,0.0,539,50%분할익절
2026-04-09 10:53:05,079550,LIG넥스원,KOSPI,Mid(09:30~14:00),860000,864000,0.0,0.47,-0.58,2.56,5.58,4214.29,1.41,정배열,0.0,985,트레일링스탑(익절)
2026-04-09 11:00:51,006360,GS건설,KOSPI,Mid(09:30~14:00),36600,36200,0.0,-1.09,-1.09,0.0,2.18,266.07,1.99,정배열,0.0,385,손절(SL)
2026-04-09 11:09:05,375500,DL이앤씨,KOSPI,Mid(09:30~14:00),93800,95300,0.0,1.6,-0.43,1.6,2.26,650.0,1.76,정배열,0.0,878,50%분할익절
2026-04-09 11:11:32,375500,DL이앤씨,KOSPI,Mid(09:30~14:00),93800,94200,0.0,0.43,-0.43,2.56,2.26,650.0,1.76,정배열,0.0,1025,트레일링스탑(익절)
2026-04-09 11:30:18,222800,심텍,KOSDAQ,Mid(09:30~14:00),69800,69100,0.0,-1.0,-1.0,0.14,2.18,550.0,1.79,정배열,0.0,1592,손절(SL)
2026-04-09 11:30:54,024740,한일단조,KOSDAQ,Mid(09:30~14:00),3265,3225,-0.15,-1.23,-1.23,-1.23,4.92,41.57,1.32,정배열,0.0,5,손절(SL)
