Date,Code,Name,Market,TimeSession,EntryPrice,ExitPrice,Slippage(%),PnL(%),MinPnL(%),MaxPnL(%),VolBurstRatio,EntryATR,EntryVWAPGap(%),MacroTrend,MacroGap(%),HoldTime(s),ExitReason
2026-04-16 09:10:42,001440,대한전선,KOSPI,Open(09:00~09:30),41850,41450,0.0,-0.96,-0.96,0.18,2.18,489.29,0.83,정배열,0.0,72,손절(SL)
2026-04-16 09:16:20,005880,대한해운,KOSPI,Open(09:00~09:30),2810,2780,0.0,-1.07,-1.07,0.0,2.54,37.64,2.13,정배열,0.0,53,손절(SL)
2026-04-16 14:09:45,317120,라닉스,KOSDAQ,Close(14:00~),3355,3265,-0.61,-2.68,-2.68,0.15,8.79,88.57,0.44,정배열,0.0,34,손절(SL)
2026-04-17 09:10:14,018880,한온시스템,KOSPI,Open(09:00~09:30),4180,4235,0.12,1.32,-0.36,1.32,10.27,38.21,0.53,정배열,0.0,36,50%분할익절
2026-04-17 09:16:07,018880,한온시스템,KOSPI,Open(09:00~09:30),4180,4280,0.0,2.39,-0.36,4.55,10.27,38.21,0.53,정배열,0.0,389,트레일링스탑(익절)
2026-04-21 14:55:14,017900,광전자,KOSPI,Close(14:00~),11700,11880,0.0,1.54,-0.43,1.54,10.42,116.07,0.2,정배열,0.0,60,50%분할익절
2026-04-21 14:55:57,017900,광전자,KOSPI,Close(14:00~),11700,11750,0.0,0.43,-0.43,1.54,10.42,116.07,0.2,정배열,0.0,104,트레일링스탑(익절)
2026-04-22 09:16:51,006400,삼성SDI,KOSPI,Open(09:00~09:30),668000,679000,0.0,1.65,-0.6,1.65,2.27,7857.14,0.34,정배열,0.0,438,50%분할익절
2026-04-23 09:16:42,005930,삼성전자,KOSPI,Open(09:00~09:30),224000,224000,0.0,0.0,-0.22,1.12,11.87,964.29,0.22,정배열,0.0,784,본절방어
2026-04-23 09:29:27,114800,KODEX 인버스,KOSPI,Open(09:00~09:30),1371,1357,0.0,-1.02,-1.02,0.29,2.25,4.64,0.18,정배열,0.0,849,손절(SL)
2026-04-23 10:36:30,396500,TIGER 반도체TOP10,KOSPI,Open(09:00~09:30),38000,38000,0.0,0.0,-0.79,1.12,2.47,90.71,0.48,정배열,0.0,5189,본절방어
2026-04-24 09:22:14,092220,KEC,KOSPI,Open(09:00~09:30),1787,1768,-0.06,-1.06,-1.06,0.73,3.6,38.29,0.08,정배열,0.0,371,손절(SL)
2026-04-24 13:11:59,092220,KEC,KOSPI,Mid(09:30~14:00),1787,1769,0.0,-1.01,-1.01,0.06,5.62,16.43,0.79,정배열,0.0,185,손절(SL)
2026-04-27 09:08:54,098460,고영,KOSDAQ,Open(09:00~09:30),44200,43550,-0.46,-1.47,-1.47,0.0,6.14,350.0,1.46,정배열,0.0,103,손절(SL)
2026-04-29 09:07:01,027360,아주IB투자,KOSDAQ,Open(09:00~09:30),15890,15620,-0.7,-1.7,-1.7,0.0,7.9,519.29,1.31,정배열,0.0,15,손절(SL)
2026-05-06 09:10:19,047040,대우건설,KOSPI,Open(09:00~09:30),30500,30150,0.0,-1.15,-1.15,0.0,2.08,317.86,0.34,정배열,0.0,40,손절(SL)
2026-05-06 13:53:07,003280,흥아해운,KOSPI,Mid(09:30~14:00),2805,2850,0.0,1.6,-0.53,1.6,5.28,9.64,0.49,정배열,0.0,3685,50%분할익절
2026-05-06 14:27:20,003280,흥아해운,KOSPI,Mid(09:30~14:00),2805,2815,0.0,0.36,-0.53,1.96,5.28,9.64,0.49,정배열,0.0,5738,트레일링스탑(익절)
2026-05-08 09:03:19,264850,이랜시스,KOSDAQ,Open(09:00~09:30),8680,8590,0.0,-1.04,-1.04,0.35,8.0,247.14,0.04,정배열,0.0,16,손절(SL)
2026-05-08 10:00:32,005930,삼성전자,KOSPI,Open(09:00~09:30),262500,266500,0.0,1.52,-0.57,1.52,7.63,1767.86,0.23,정배열,0.0,3359,50%분할익절
2026-05-08 10:55:01,005930,삼성전자,KOSPI,Open(09:00~09:30),262500,263500,0.0,0.38,-0.57,2.29,7.63,1767.86,0.23,정배열,0.0,6628,트레일링스탑(익절)
2026-05-11 10:01:19,003280,흥아해운,KOSPI,Open(09:00~09:30),2715,2715,0.0,0.0,-0.55,1.29,2.25,18.93,1.2,정배열,0.0,2592,본절방어
